鹌鹑蛋|韭菜:缓解肾虚腰痛阳痿|香菇:面部易长黑斑 ,猪肝:面生黑斑
菜花|牛肉酱:帮助吸收维生素B12,玉米面:健脾益胃、补虚、助消化 ,西红柿:降血脂降血压,圣女果:降血脂降血压,牛里脊:帮助吸收维生素B12,牛腩:帮助吸收维生素B12,牛肉:帮助吸收维生素B12,猪肉:提高蛋白质的吸收率|笋瓜:破坏维生素C的吸收 ,香椿:因为香椿中含有丰富的钙质，而菜花中所含的化学成分会影响到钙质的消化和吸收。所以，香椿不适宜和菜花一同食用。 ,黄瓜:花菜中的维生素C会被黄瓜中的分解酶破坏,猪肺:身体不适,猪肝:菜花含有大量纤维素，纤维素中的醛糖酸残基可与猪肝中的铁、铜、锌等微量元素形成螯合物而降低人体对这些元素的吸收。,牛奶:牛奶含丰富的钙质，菜花所含的化学成份影响钙的消化吸收。
蚕豆|白菜:增加抵抗力 ,枸杞:清肝去火|红螺:腹胀 ,扇贝:降低锌的吸收量 ,海螺 :腹胀 ,田螺:同食会肠绞痛。
草莓|牛奶:有助于维生素B12的吸收|
糙米|青椒:防止维生素C被氧化,红薯:减肥|
草鱼|豆腐:补中调胃利水消肿促进骨骼发育 ,木耳:促进血液循环|驴肉:引发心脑血管疾病
茶树菇|鸡肉:促进蛋白质的吸收,鸡胸肉:促进蛋白质的吸收,仔鸡:增进蛋白质吸收|
橙子|蜂蜜:同食可用于治胃气不和、呕逆少食|河蚌:变成砒霜 ,牛奶:影响消化，引起腹胀、腹痛、腹泻,蛤蜊:影响维生素C的吸收,槟榔:身体不适,虾:同食会引起中毒、危及生命
赤小豆|糯米:改善脾虚腹泻和水肿,冬瓜:消除全身水肿|鲤鱼:缓解脚气病，利尿 ,羊骨:同食会引起中毒,羊排:两者功能反之，因此不宜搭配一起吃。,羊肉:同食会引起中毒
春笋|木耳:补血|
醋|桑葚:预防感冒、益肾、帮助消化、预防便秘等功效 |豌豆:消化不良 ,水芹菜:损伤牙齿 ,芹菜:损伤牙齿 ,胡萝卜:胡萝卜素就会完全被破坏了,羊骨:羊肉大热，功能益气补虚；醋中含蛋白质、糖、维生素、醋酸及多种有机酸，其性酸温，消肿活血，应与寒性食物配合，与羊肉不宜,羊排:同食会助热发燥，并且还影响羊肉的味道,牛奶:同食会引起腹中病结，可以用地浆水治疗。,羊肉:羊肉大热，功能益气补虚；醋中含蛋白质、糖、维生素、醋酸及多种有机酸，其性酸温，消肿活血，应与寒性食物配合，与羊肉不宜。
大白菜|鲤鱼 :改善妊娠水肿,海带:防治碘不足 ,栗子:去除雀斑和黑眼圈,猪肝:滋补,猪肉:补充营养通便|
大葱|海虾:可起到益气，下乳的功效，尤其适合产后缺乳的女士食用,北极虾:可起到益气，下乳的功效，尤其适合产后缺乳的女士食用,明虾:可起到益气，下乳的功效，尤其适合产后缺乳的女士食用,基围虾:可起到益气，下乳的功效，尤其适合产后缺乳的女士食用,樱桃:治疗麻疹|苦菊:影响营养素的吸收 ,枣:同食易使火气更大,杨梅:同食会产生化学反应，具有不良作用,大蒜:同食会伤胃
大豆|小米:小米的氨基酸中缺乏赖氨酸，而大豆的氨基酸中富含赖氨酸，可以补充小米的不足|藕带: 影响人体对铁的吸收 ,菠菜:食物中的维生素C会对铜的析放量产生抑制作用。
大花蟹|枸杞:补肾壮阳,芦笋:强化骨骼 ,冬瓜:养精益气|苋菜:肠胃积滞 ,石榴:腹疼，呕吐、恶心 ,橘子:气滞肚胀 ,南瓜:中毒 ,柚子:刺激肠胃 ,红薯:胆结石 ,甜瓜:腹泻 ,柿子:腹泻、腹痛，中毒 ,梨:不利于肠胃 ,猕猴桃:中毒 
带鱼|香干:补钙 ,千张:补钙,豆腐:补钙,豆腐干:补钙,腐竹:补钙,油豆腐:补钙,北豆腐:补钙,木瓜:补气养血|
大麦|枣:同食可以增进营养吸收|
当归|桂圆:补血补气|
刀豆|羊肉:补肾壮阳,羊骨:补肾壮阳 |猪肉:易发生腹胀，腹泻
大蒜|玉米面:养心健胃,洋葱:防癌抗癌抗菌消炎,火腿:增进营养元素吸收,五花肉:可增进营养元素的吸收,排骨:增进营养元素吸收,猪肉:促进血液循环、消除疲劳|芒果:身体不适,鸭肉:中毒,鸡肉:大蒜辛温有毒，主下气消谷、除风杀毒而鸡肉甘酸温补，两者功用相佐，且蒜气熏臭，从调味角度讲，也与鸡不合,鸡胸肉:大蒜辛温有毒，主下气消谷、除风杀毒而鸡肉甘酸温补，两者功用相佐，且蒜气熏臭，从调味角度讲，也与鸡不合,鸡翅:两者功用相佐,大葱:同食会伤胃
大枣|香芋:大枣具有健脾、益气、补血的功效，能够使血脉通畅，增加皮肤的营养，两者搭配在一起，相得益彰|海蟹:同食容易患寒热病。
大闸蟹|冬瓜:养精益气,芦笋:强化骨骼,枸杞:补肾壮阳|苋菜:肠胃积滞 ,石榴:腹疼，呕吐、恶心 ,芦柑:气滞肚胀,南瓜:中毒 ,柚子:刺激肠胃 ,红薯:胆结石 ,甜瓜:腹泻 ,柿子:腹泻、腹痛，中毒 ,梨:不利肠胃 ,猕猴桃:中毒 
鲷鱼|豆腐:促进蛋白质的吸收 |西瓜:引起胃肠不适
帝王蟹|芦笋:强化骨骼|梨:不利于肠胃,柿子:生成鞣酸钙，刺激肠胃并引起不适感，出现肚子痛、呕吐、恶心或腹泻等症状，含有较多鞣酸的水果还有葡萄、石榴、山楂等 
冬虫夏草|鸡肉:改善身体虚弱、补肾养肝，调理疾病等功效|绿豆:导致冬虫夏草的营养流失 ,胡萝卜:影响冬虫夏草的吸收利用 
冬瓜|蜜豆:能消除全身浮肿。,大花蟹:养精益气,大闸蟹:养精益气,青蟹:养精益气,猪小排:祛湿,甲鱼:润肤明目减肥,豇豆:豇豆和冬瓜一起吃，具有补肾消肿的作用，并且对于肾炎、腰痛和浮肿患者有一定的治疗功效。,口蘑:利湿,赤小豆:消除全身水肿,平菇:利湿,椰子:泻肺火,鸡肉:消肿清热利尿,鸡胸肉:消肿清热利尿,仔鸡:消肿清热利尿,火腿:蛋白质更容易吸收,五花肉:利于蛋白质的消化吸收,排骨:蛋白更易吸收|红螺:身体不适 ,山竹:身体不适,海螺:身体不适,鲫鱼:同食会使身体脱水。
冬菇|燕麦片:有助于防癌、抗衰老 |
冬笋|猪肉:补肝肾|甲鱼:伤元气
豆豉|鸭肉:降低人体脂肪,鸭翅:降低人体的脂肪含量|
豆腐干|带鱼:补钙,白萝卜:有利于消化|
豆腐|萝卜干:帮助人体吸收营养,薄荷:可治疗伤风鼻塞，打喷嚏，流鼻涕等症 ,芸豆 :适宜慢性肝炎,鲷鱼:促进蛋白质的吸收 ,秋刀鱼:促进钙的吸收,鲢鱼:补充钙质,桂鱼:促进钙的吸收,鲅鱼:促进蛋白的吸收,鳗鱼:增加蛋白质的吸收 ,黄鱼 :可提高人体对钙的吸收率 ,鳕鱼:蛋白质的吸收率,带鱼:补钙,鲈鱼:增加蛋白质的吸收,鲫鱼 :清心润肺健脾利胃,草鱼:补中调胃利水消肿促进骨骼发育 ,比目鱼 :增加蛋白质的吸收率 ,文蛤:去热寒、治气血不足、皮肤粗糙,蛤蜊:去热寒,海虾:容易消化，对高血压，高脂血，动脉粥样硬化的肥胖者尤宜，更适合老年肥胖者食用 ,北极虾:容易消化，对高血压，高脂血，动脉粥样硬化的肥胖者尤宜，更适合老年肥胖者食用,明虾:容易消化，对高血压，高脂血，动脉粥样硬化的肥胖者尤宜，更适合老年肥胖者食用 ,基围虾:容易消化，对高血压，高脂血，动脉粥样硬化的肥胖者尤宜，更适合老年肥胖者食用,平菇:增加蛋白质的吸收,金针菇:增加抵抗力,海带 :预防碘缺乏,水芹菜:清肠排毒,油麦菜:镇痛催眠,青萝卜:帮助人体吸收豆腐中的营养,瓠瓜:美容减肥,西葫芦:减肥美容 ,荠菜:清热降压,生菜:减肥健美,油菜:清肺止咳,辣椒:益智美容、健脑,白萝卜:有利于消化,桂花:有丰胸的作用,羊排:能够补充人体多类微元素，并且还能够起到清热泻火，除烦，止渴的作用。 ,羊肉:清热泻火、除烦、止渴,羊骨:清热泻火、除烦、止渴 |比目鱼:增加蛋白质的吸收率 ,蜂蜜: 形成草酸钙，造成了对钙的吸收困难，导致人体内钙质的缺乏 ,小葱:形成草酸钙，造成了对钙的吸收困难，导致人体内钙质的缺乏 ,菠菜:菠菜中的草酸与豆府中的钙形成草酸钙，使人体的钙无法吸收 ,茭白:易形成结石,猪血:补血
豆角|土豆:防止急性肠胃炎呕吐腹泻|
豆苗|海虾:吃对体质阴寒，低血压，食欲不佳，精力衰退者都有较好的食疗效果,北极虾:吃对体质阴寒，低血压，食欲不佳，精力衰退者都有较好的食疗效果,明虾:吃对体质阴寒，低血压，食欲不佳，精力衰退者都有较好的食疗效果,基围虾:吃对体质阴寒，低血压，食欲不佳，精力衰退者都有较好的食疗效果|羊肉:易发生黄疸和脚气病 
对虾|燕麦:护心解毒|
杜仲|山楂干:降血压,山楂:降血压|
鹅肉|白萝卜:润肺止咳|红啤梨:鹅肉与鸭梨不可同食，同食产生不良生化反应，伤及肾脏。,柿子:一起吃严重会导致死亡,鸡蛋:一起吃伤元气,鸭梨:伤肾脏
肥牛|鸡蛋:可以提供可观的人体所需的优质蛋白质，可以调节人体代谢新陈，增强机体抗病毒能力。,甘蔗:可以气血双补，健脾开胃,萝卜:同食可为人体提供可观的蛋白质，维生素C等营养成份，具有补五脏，益气血的作用。,莴苣:同食有调理气血的作用,芋头:具有益气补中，通便的作用。,茄子:同食可以强壮身体,土豆:同食不仅味道好，并且马铃薯富含叶酸，有着保护胃黏膜的功效。,牛蒡:同食可刺激胃肠蠕动，改善便秘等症状|牛膝:牛膝可治血热卜炎之咽喉肿疼，吐血，衄血，高血压性头疼等症，而牛肉甘温，补气助火，二者不宜同用。,生姜:同食会上火,红糖:同食会引起肚胀,田螺:同食不容易消化，会引起肚胀。
蜂蜜|牛奶:缓解贫血和痛经 ,茼蒿:预防便秘 ,黄瓜:润肠通便,胡萝卜:排毒,桑葚:可滋阴补血、适用于阴血亏虚所致的须发早白、头目晕眩、女子月经不调、闭经等。,橙子:同食可用于治胃气不和、呕逆少食,梨:缓解咳嗽|鹅蛋:产生毒素 ,油豆腐:有损听力，腹泻,香干:有损听力，腹泻 ,豆浆:鸡蛋中黏液性蛋白易和豆浆中的胰蛋白酶结合，产生一种不能被人体吸收的物质大大降低了人体对营养的吸收 ,腐竹:有损听力，腹泻 ,北豆腐:有损听力，腹泻 ,豆腐: 形成草酸钙，造成了对钙的吸收困难，导致人体内钙质的缺乏 ,米饭:影响消化吸收 ,螃蟹:中毒 ,河蟹:一起吃会引起中毒，可以用地浆水治疗 ,生菜:一起吃易导致腹泻 ,菠菜:引起心痛 ,莴笋:不利肠胃，易致腹泻,茭白:引发痼疾,李子:有损五脏,洋葱:同食会伤眼睛，引起眼睛不适，严重会失明。,韭菜:同食会阻碍血液循环。,鲫鱼:同食会中毒。,大米: 同食会胃痛。
粉丝|菠菜:促进营养素的吸收|
腐竹|带鱼 :补钙,西芹 :抗疲劳 ,白萝卜:有利于消化|蜂蜜:有损听力，腹泻 ,小葱: 影响钙质的吸收 
干贝|鸡蛋:营养全面|
甘蔗|山药:咳嗽有痰者，二者同食对身体非常有好处,牛肉:可以气血双补，健脾开胃,牛奶:能够降低甘蔗汁的寒性,粟米:适用于脾肺不足、阴虚肺燥、烦热咳嗽、咽喉不利等症 ,高粱:益气生津、对痰热咳嗽、口舌干燥、唾液黏涎有食疗作用,肥牛:可以气血双补，健脾开胃|
高粱|甘蔗:益气生津、对痰热咳嗽、口舌干燥、唾液黏涎有食疗作用|
粳米|薄荷:具清新怡神，疏风散热增过食欲，帮助消化的功效,小米面:同食可提高营养价值,香芋:有散结宽肠、健脾强肾、下气等作用，常食可养颜，适用于大便干燥、便结等症,桑葚:同食可补肝益肾、养血润燥、消除脑力疲劳、常吃有利于记忆力减退、精力不集中、多梦、失眠等症状的改善。|
鸽子|玉米:防治神经衰弱|
枸杞|大花蟹:补肾壮阳,青蟹:补肾壮阳 ,大闸蟹:补肾壮阳,山楂干:补肝益肾 ,山楂:补肝益肾,羊排:比较适用于肾精衰败，腰背疼痛，性功能减退等。,决明子:清肝明目,蚕豆:清肝去火,银耳:美容养颜|绿茶:绿茶里所含的大量鞣酸具有收敛吸附的作用，会吸附枸杞中的微量元素，生成人体难以吸收的物质
桂花|糯米:食欲不佳，腹胀腹泻有一定缓解作用,豆腐:有丰胸的作用,菊花:清热润肺，养颜美白，清肝明目的功效|
桂圆|小米面:同食有益丹田，补虚损，开肠胃之作用,大米:补元气,当归:补血补气,鸡蛋:补气养血|
桂鱼|丝瓜:营养均衡,豆腐:促进钙的吸收|山楂:腹痛、恶心、呕吐 ,西红柿:影响铜的吸收 ,枣:消化不良 ,毛豆:维生素B族破坏 
海带|豆腐:预防碘缺乏,油豆腐:预防碘缺乏 ,大白菜:防治碘不足 ,北豆腐:预防碘缺乏,生菜:促进铁的吸收,菠菜:防止结石,白菜:防治碘不足,芝麻:血液循环净化血液降低胆固醇|柿子:胃肠不适,猪血:同食会便秘。
海螺|藕:补气|牛肉酱:身体不适 ,玉米面:身体不适 ,蚕豆:腹胀 ,玉米:身体不适,木耳 :腹胀 ,冬瓜:身体不适,香瓜:身体不适,羊骨:腹泻,羊肉:腹泻,牛里脊:身体不适,牛肉:身体不适,猪肉:身体不适
北极虾|油菜:可提供更多人体所需的钙质,芹菜:够促进人体代谢新陈，改善机体微循环,韭菜:补益肝肾的作用,大葱:可起到益气，下乳的功效，尤其适合产后缺乳的女士食用,辣椒:有利于提高人体免疫力，并且具有开胃，消食，壮阳的作用,豆苗:吃对体质阴寒，低血压，食欲不佳，精力衰退者都有较好的食疗效果,鸡蛋:味道与营养均会明显提升 ,茄子:营养非常高，具有健脾宁心，降压止血的作用。比较适用于动脉硬化，高血压，脑血栓形成和坏血病患者食用 ,豆腐:容易消化，对高血压，高脂血，动脉粥样硬化的肥胖者尤宜，更适合老年肥胖者食用,丝瓜:辅助治疗肺虚咳嗽，体倦，腰膝酸软等病患 |柿子:生成鞣酸钙，刺激肠胃并引起不适感，出现肚子痛、呕吐、恶心或腹泻等症状，含有较多鞣酸的水果还有葡萄、石榴、山楂等 ,猪肉:耗人阴精，造成阴虚火旺，不利于身体健康 ,黄豆:易引起消化不良 ,鸡肉:性味互相抵触，降低营养价值 ,香菇:香菇含有大量异种蛋白，容易引起过敏，而香菇又被列为气喘的引起物之一，两者不宜搭配同吃，哮喘病人尤要注意 ,南瓜:同食会引起痢疾 ,木瓜:生成有毒物质 
鲳鱼|青椒:促进维生素C的吸收 |羊骨:影响营养素的吸收,羊肉:影响营养素的吸收
大米|胡萝卜:改善胃肠功能,桂圆:补元气|蕨菜:降低维生素B1的消化吸收 ,蜂蜜: 同食会胃痛。
豆瓣酱|牡蛎 :去腥|羊排:两者功能反之，提议最好不要搭配一起吃
芥蓝|白菜薹:抗癌 |
海米|圆白菜:补充碘|
红豆|糯米:改善脾虚腹泻和水肿 ,鲤鱼:消水肿,枣:同食起到补益、心脾、消肿、利水的功效|羊肝:一起吃会引起中毒,羊肚:同食会引起中毒。
胡椒面|羊排:同食具有温肺化痰的作用|
金针菇|豆腐:增加抵抗力,西兰花:防癌抗癌,油菜:预防大肠癌和胃癌|牛奶:消化不良 ,驴肉:一起吃会引起心痛，严重会致命
菊花|银耳:润燥除烦 ,桂花:清热润肺，养颜美白，清肝明目的功效|梅花肉:中毒,鸡胸肉:一起吃会中毒,鸡翅:中毒,仔鸡:中毒,火腿:中毒,五花肉:中毒,排骨:中毒,猪肉:一起吃严重会导致死亡,芹菜:同食会引起呕吐,鸡肉:同食会中毒。
栗子|鸡肉:补血养身,白菜:去除雀斑和黑眼圈,大白菜:去除雀斑和黑眼圈,枣:适于肾虚、腰酸背痛者、腿脚无力者、小便频多者,鸭肉:影响营养吸收|牛肉:栗子中的维生素易与牛肉中的微量元素发生反应，削弱栗子的营养价值，而且不易消化,牛腩:引起呕吐,羊肉:二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐,鸭翅:影响营养吸收,羊排:会造成胃肠不适感，呕吐,牛排:呕吐,杏仁: 同食会胃痛。
海参|羊肉:养血润燥,羊骨:养血润燥|山楂干:不易消化,柿子:不易消化,山楂:不易消化,石榴:不易消化
海虾|油菜:可提供更多人体所需的钙质 ,芹菜:够促进人体代谢新陈，改善机体微循环 ,韭菜:补益肝肾的作用,大葱:可起到益气，下乳的功效，尤其适合产后缺乳的女士食用,辣椒:有利于提高人体免疫力，并且具有开胃，消食，壮阳的作用 ,豆苗:吃对体质阴寒，低血压，食欲不佳，精力衰退者都有较好的食疗效果,鸡蛋:味道与营养均会明显提升 ,茄子:营养非常高，具有健脾宁心，降压止血的作用。比较适用于动脉硬化，高血压，脑血栓形成和坏血病患者食用,豆腐:容易消化，对高血压，高脂血，动脉粥样硬化的肥胖者尤宜，更适合老年肥胖者食用 ,丝瓜:辅助治疗肺虚咳嗽，体倦，腰膝酸软等病患 |柿子:生成鞣酸钙，刺激肠胃并引起不适感，出现肚子痛、呕吐、恶心或腹泻等症状，含有较多鞣酸的水果还有葡萄、石榴、山楂等 ,猪肉:耗人阴精，造成阴虚火旺，不利于身体健康 ,黄豆:易引起消化不良 ,鸡肉:性味互相抵触，降低营养价值 ,香菇:香菇含有大量异种蛋白，容易引起过敏，而香菇又被列为气喘的引起物之一，两者不宜搭配同吃，哮喘病人尤要注意 ,南瓜:同食会引起痢疾 ,木瓜:生成有毒物质 
海蜇头|木耳 :润肠美肤嫩白降压 |柿子:腹胀
海蜇|木耳:润肠美肤嫩白降压|柿子:腹胀 
蛤蜊|豆腐:去热寒|田螺:腹胀 ,水芹菜:影响维生素的吸收 ,芹菜:影响维生素的吸收 ,橙子:影响维生素C的吸收
黑豆|红糖:滋补肝肾 活血行经 美容乌发,牛奶:帮助人体更好地吸收牛奶中的维生素B12|
黑木耳|桔子:治疗痛经,乌鸡:活血补血|
黑鱼|首乌:可以治疗疮疡，瘰疬，精血不足，便秘等症|茄子:同食有损肠胃
荷兰豆|红糖:健脾 通乳 利水,蘑菇:消除油脂引起的食欲不佳|
核桃|水芹菜:润发明目养血 ,荸荠:有利于消化,芹菜:润发明目养血,芝麻:改善皮肤弹性，保持皮肤细腻,枣:提供全面的营养物质、具有美容养颜作用|山鸡:肺炎、支气管炎患者忌食
河虾|燕麦:护心解毒|洋葱:形成草酸钙产生结石,柿子:腹泻
红螺|藕:补气|羊肉:腹泻 ,冬瓜:身体不适 ,玉米:身体不适 ,木耳:腹胀 ,蚕豆:腹胀 ,香瓜:身体不适 ,猪肉:身体不适 ,牛肉:身体不适 
红薯|水芹菜:降血压,芹菜:降血压,猪小排:增加营养素的吸收,糙米:减肥,莲子:适合习惯性便秘和慢性肝炎患者|大花蟹 :胆结石 ,青蟹:胆结石 ,大闸蟹:胆结石 ,梭子蟹:形成胆结石 ,圣女果:同食会得结石病、呕吐、腹痛、腹泻 ,西红柿:一起吃会得结石病，呕吐、腹痛、腹泻,鸡蛋:一起吃会腹痛,柴鸡:同食会腹痛,螃蟹:容易在体内凝成柿石,河蟹:结石,柿子:腹胀,香蕉:一起吃会引起身体不适,鸡肉:同食会腹痛,鸡胸肉:同食会腹痛,鸡翅:同食会腹痛,仔鸡:腹痛
红糖|黑豆:滋补肝肾 活血行经 美容乌发,荷兰豆:健脾 通乳 利水,小米面:同食可以健脾胃，补虚损，排除淤血，补充失血 ,小米:补虚补血|文蛤:同食会引起中毒 ,竹笋: 形成赖氨酸糖基，对人体不利 ,牛里脊:不利于营养的吸收、腹胀,肥牛:同食会引起肚胀,牛腩:腹胀,牛排:不利于营养的吸收；,皮蛋:同食会引起中毒。,牛肉:同食会引起腹胀。
黄豆芽|鲫鱼:通乳汁|猪血:一起吃会消化不良,猪肝:有损营养素的吸收
黄豆|鸡蛋:降低胆固醇,小米:有利于营养素的吸收,小米面:同食可提高蛋白质的吸收利用率,燕麦片:预防贫血|梅花肉:腹胀,酸奶:酸牛奶含丰富的钙质，黄豆所含的化学成份影响钙的消化吸收 ,虾皮:一起吃会消化不良 ,基围虾:易引起消化不良 ,明虾:易引起消化不良 ,北极虾:易引起消化不良 ,海虾:易引起消化不良 ,水芹菜:降低铁的吸收 ,芹菜:降低铁的吸收 ,菠菜:食物中的维生素C会对铜的析放量产生抑制作用 ,猪蹄:腹胀,排骨:胀气,猪肉:腹胀,猪血:同食会消化不良。
黄瓜|蜂蜜:润肠通便|花生酱:一起吃易导致腹泻 ,水芹菜:芹菜中的维生素C将会被分解破坏，降低营养价值 ,辣椒:降低营养价值、破坏维生素C,芹菜:芹菜中的维生素C将会被分解破坏，降低营养价值,圣女果:破坏维生素C的吸收,青椒:破坏维生素C,枇杷:影响消化,香椿:黄瓜中含有维生素C分解酶，会破坏到香椿中的维生素C，影响人体对维生素C的吸收，使营养大大降低，故香椿和黄瓜也不宜同食。,菜花:花菜中的维生素C会被黄瓜中的分解酶破坏,香菜:破坏维生素C,菠菜:菠菜中的维生素C会被黄瓜中的分解酶破坏,油菜:降级维生素C的吸收,山药:黄瓜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。,圆白菜:影响维生素C的吸收,芦柑:柑橘中的维生素C会被黄瓜中的分解酶破坏,小白菜:破坏维生素C,花生:一起吃易导致腹泻,金桔:同食会使金桔的营养价值降低,枣:破坏维生素 C,樱桃:破坏维生素C，失去营养价值,杨梅:失去原有的营养价值,杏:身体不适
黄鳝|藕:滋阴健脾|皮蛋:导致腹泻，也会引起食物中毒 ,菠菜:腹泻 ,南瓜:身体不适
黄鱼|苹果:有助于营养的全面补充,荠菜:二者搭配是孕妇防治缺铁性贫血的保健菜肴 ,豆腐:可提高人体对钙的吸收率 ,苔菜:提供较高的营养成分,有润肺健脾、补气活血、清热解毒之功效。对产后体弱虚损、腰肌劳损有一定作用|荞麦:消化不良 
花生酱|苦菊:清热解毒凉血止血,菠菜:有利于维生素的吸收|黄瓜:一起吃易导致腹泻 ,河蟹:一起吃易导致腹泻 ,螃蟹:一起吃易导致腹泻 
花生|鲤鱼:有利于营养的吸收,鲫鱼:有利于吸收营养,苦菊:清热解毒凉血止血 ,菠菜:有利于维生素的吸收,猪蹄:催乳,枣:补虚、止血|河蟹: 一起吃易导致腹泻,螃蟹:腹泻,黄瓜:一起吃易导致腹泻
瓠瓜|豆腐:美容减肥|芦笋:加重脾胃虚寒 
胡萝卜|比目鱼:防癌抗癌,大米:改善胃肠功能,蜂蜜:排毒,圆白菜:减少癌细胞的产生,羊排:同食适于营养不良、贫血、头晕、大便干燥的病人、可以补虚益气、增进血液循环、提高御寒能力，还能帮助消化、补肾壮阳。|山药:胡萝卜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。,冬虫夏草:影响冬虫夏草的吸收利用 ,辣椒:降低营养价值、影响维生素C的吸收,醋:胡萝卜素就会完全被破坏了,水萝卜:萝卜主泻、胡萝卜为补，所以二者最好不要同食,山楂干:维生素C则易被分解破坏,樱桃:降低各自原有的营养价值,杏:身体不适,山楂:胡萝卜富含维生素C分解酶，若含有丰富的维生素C的山楂与含有维生素C分解酶的食物同用，维生素C则易被分解破坏。,白萝卜:胡萝卜含有抗坏血酸酶，会破坏白萝卜中的维生素C，使两种萝卜的营养价值都大为降低。
